season,game_id,game_date,home,away,y,pts_h,pts_a,am,p_mkt,gp_home,gp_away,ff_ready,carry_active,n_cur_rows,n_out_home,n_out_away,b2b_h,b2b_a,cm,fm,rm_core,prior_term,sched,cont_h,cont_a,m_us,p_us
2023-24,0022300164,2023-11-08,MEM,MIA,0,102,108,-6,0.44632827295194966,7,7,1,0,206,5,4,0,0,-2.942166,-1.301369,-1.054657,0.75977,2.252811,0.5761,0.7009,0.131044,0.5045500073799175
2023-24,0022300159,2023-11-08,PHI,BOS,1,106,103,3,0.41115435030019515,6,6,1,0,206,1,1,0,0,-5.133548,-1.429527,-0.705323,-0.840992,2.252811,0.6444,0.6096,-1.028726,0.4643409867244688
2023-24,0022300170,2023-11-08,SAC,POR,1,121,118,3,0.7722859781343504,6,7,1,0,206,4,2,0,0,1.987179,1.183001,-0.258911,2.241076,2.252811,0.813,0.3903,3.837901,0.6301922803160186
2023-24,0022300162,2023-11-08,CHI,PHX,0,115,116,-1,0.5179520501205839,8,7,1,0,206,0,2,0,0,-4.609418,-5.4342,-2.189954,-0.225559,2.252811,0.8551,0.1931,-2.768998,0.40502199760622154
2023-24,0022300163,2023-11-08,HOU,LAL,1,128,94,34,0.44632827295194966,6,7,1,0,206,3,3,0,0,-4.762453,1.606377,-0.039038,-3.374237,2.252811,0.4981,0.3762,0.674773,0.523412487925628
2023-24,0022300157,2023-11-08,CHA,WAS,0,116,132,-16,0.5888456496998049,6,6,1,0,206,1,1,0,0,0.740871,3.338389,0.908403,-1.877711,2.252811,0.6102,0.5176,4.292441,0.6447801219131596
2023-24,0022300172,2023-11-09,ORL,ATL,0,119,120,-1,0.37686560878908776,7,7,1,0,206,3,0,0,0,-6.597317,1.40816,-0.309237,-1.012823,2.252811,0.7738,0.8019,-0.341767,0.4881353062475431
2023-24,0022300171,2023-11-09,IND,MIL,1,126,124,2,0.44632827295194966,8,7,1,0,206,5,2,1,1,-5.307815,4.297555,0.408663,-2.285682,3.760298,0.8529,0.5068,3.255168,0.6111400038903628
2023-24,0022300009,2023-11-10,WAS,CHA,0,117,124,-7,0.6231343912109123,7,7,1,0,206,4,1,0,0,0.496878,-3.338389,-1.056941,1.877711,2.252811,0.5176,0.6102,0.832055,0.5288587027928143
2023-24,0022300011,2023-11-10,HOU,NOP,1,104,101,3,0.6231343912109123,7,8,1,0,206,4,3,0,0,-3.342164,2.3039,0.717747,-3.524833,2.252811,0.4981,0.5909,1.733679,0.5599080310033419
2023-24,0022300013,2023-11-10,SAS,MIN,0,110,117,-7,0.2539630763198815,8,7,1,0,206,2,0,0,0,-10.299146,-11.876053,-3.862013,-3.443508,2.252811,0.6978,0.6984,-8.834788,0.2266974758740499
